Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
EVEN,1500,0.01,3000000,2821084,3.28
EVEN,1500,0.001,3000000,2718147,3.470666666666667
EVEN,1500,0.05,3000000,2728994,3.7893333333333334
ODD,1500,0.01,3000000,2712453,4.201333333333333
COMPREHENSIVE,1500,1.0E-4,3000000,2908403,3.767333333333333
COMPREHENSIVE,1500,0.05,3000000,2702644,3.8133333333333335
COMPREHENSIVE,1500,0.01,3000000,2731932,3.7866666666666666
EVEN,1500,0.01,3000000,2736447,3.926
COMPREHENSIVE,1500,0.001,3000000,2717615,3.796666666666667
EVEN,1500,0.001,3000000,2690383,3.784
ODD,1500,0.01,3000000,2772320,3.7666666666666666
EVEN,1500,0.05,3000000,2727618,4.012
COMPREHENSIVE,1500,1.0E-4,3000000,2723465,3.787333333333333
COMPREHENSIVE,1500,0.01,3000000,2715043,3.8053333333333335
EVEN,1500,0.01,3000000,2683171,3.800666666666667
COMPREHENSIVE,2000,0.001,1000000,903119,3.8195
COMPREHENSIVE,2000,0.05,1000000,903945,4.1715
EVEN,2000,0.001,1000000,903790,3.775
COMPREHENSIVE,2000,0.01,1000000,929964,3.3335
ODD,2000,0.01,1000000,909883,4.0875
EVEN,2000,0.01,1000000,954879,3.362
COMPREHENSIVE,2000,1.0E-4,1000000,912702,4.199
EVEN,2000,0.05,1000000,895411,4.3315
COMPREHENSIVE,2000,0.05,1000000,904720,3.802
COMPREHENSIVE,2000,0.001,1000000,0,4.0395
EVEN,2000,0.001,1000000,916780,3.8905
COMPREHENSIVE,2000,0.01,1000000,908461,3.7795
ODD,2000,0.01,1000000,904530,3.7915
COMPREHENSIVE,2000,1.0E-4,1000000,952659,3.324
COMPREHENSIVE,2000,0.05,1000000,874758,3.602
EVEN,2000,0.05,1000000,902130,4.0385
EVEN,2000,0.01,1000000,922162,5.4095
COMPREHENSIVE,2000,0.001,1000000,950933,3.797
EVEN,2000,0.001,1000000,918754,4.165
ODD,2000,0.01,1000000,922230,3.847
COMPREHENSIVE,2000,0.01,1000000,909664,4.0165
COMPREHENSIVE,2000,1.0E-4,1000000,905384,3.7985
EVEN,2000,0.05,1000000,907741,3.786
EVEN,2000,0.01,1000000,903113,3.7935
COMPREHENSIVE,2000,0.001,1000000,897658,3.808
COMPREHENSIVE,2000,0.05,1000000,912837,5.409
EVEN,2000,0.001,1000000,904296,3.8085
